Name,Date,Views Last 30
Unlistedleaf,4/13/2019,4639500
Penguinz0,5/16/2019,43258500
Unlistedleaf,5/24/2019,6898380
Vikkstar123,5/24/2019,16396020
Shofu,5/24/2019,491070
Maxmoefoe,5/24/2019,120300
GameboyLuke,5/24/2019,474780
RTGame,5/24/2019,29401620
Dorkly,5/25/2019,26836740
Vikkstar123,6/3/2019,15323370
Xadr1v3,6/10/2019,3559200
Patterrz,6/11/2019,607800
Shofu,6/22/2019,2047140
Penguinz0,7/14/2019,60155700
Dorkly,12/16/2019,17693000
Unlistedleaf,2/29/2020,5597000
Maxmoefoe,8/1/2020,1019000
Penguinz0,9/23/2020,112410000
RTGame,10/14/2020,11703000
Vikkstar123,10/17/2020,35997000
Maxmoefoe,10/18/2020,896254
Penguinz0,12/2/2020,120189000
Unlistedleaf,12/2/2020,7909000
Vikkstar123,12/2/2020,30613000
Shofu,12/2/2020,662381
Maxmoefoe,12/2/2020,700504
GameboyLuke,12/2/2020,924215
RTGame,12/2/2020,19445000
Xadr1v3,12/2/2020,8088000
Patterrz,12/2/2020,1274000
